epoch,loss,val_loss
0,0.6918751684427261,0.7938861937522889
1,0.5099312643408775,0.6707340158224105
2,0.44597051122784614,0.6064939992427826
3,0.40975520718097685,0.5726258001327514
4,0.38716057434678075,0.5480042780637742
5,0.3709069525897503,0.5286233813762665
6,0.3583111580014229,0.5179846717119216
7,0.34770696705579757,0.5054313133955002
8,0.3407160559296608,0.492128870010376
9,0.3331589925289154,0.48525434321165084
0,0.3412620021998882,0.4713229827284813
0,0.3268987958729267,0.4916918756961822
1,0.31933702930808067,0.4744919337630272
2,0.31671757374703885,0.4856264471411705
3,0.31643681704998017,0.4697366669178009
4,0.312875419780612,0.49970999658107756
0,0.28148442731797696,1.4993296461105348
1,0.20751550510525704,0.6187665788531304
2,0.16783332499861717,0.5212203082442284
3,0.14095709863305092,0.3752031806707382
4,0.12262509144097566,0.39036188808083533
5,0.10710405752062797,0.35654209059476855
6,0.09665345527976751,0.34943833482265474
7,0.08854457038640975,0.35970695707201955
8,0.08142549754679203,0.3610489954352379
9,0.07508418602496386,0.3554181183576584
10,0.07028375657647848,0.39059243476390837
11,0.06564527329429984,0.3579484812617302
12,0.06035983148217201,0.3666882453262806
13,0.05773352852463722,0.3593787559866905
14,0.05433383624628186,0.3541988359689712
0,0.04660897668078542,0.33627148061990736
1,0.04383221095055342,0.3322090077996254
2,0.04133436092734337,0.3305802005827427
3,0.04007587454840541,0.33040261510014535
4,0.03891666764765978,0.3281590986251831
